"Month","Day_of_Week","Predicted_Count"
"Apr","Friday",80370.6428571428
"Apr","Monday",83316.4761904761
"Apr","Saturday",54381.6428571428
"Apr","Sunday",62930.3095238095
"Apr","Thursday",96208.1428571428
"Apr","Tuesday",88766.3095238095
"Apr","Wednesday",98542.4761904761
"Aug","Friday",118193.357142857
"Aug","Monday",121139.19047619
"Aug","Saturday",92204.3571428571
"Aug","Sunday",100753.023809524
"Aug","Thursday",134030.857142857
"Aug","Tuesday",126589.023809524
"Aug","Wednesday",136365.19047619
"Jul","Friday",113457.071428571
"Jul","Monday",116402.904761905
"Jul","Saturday",87468.0714285714
"Jul","Sunday",96016.738095238
"Jul","Thursday",129294.571428571
"Jul","Tuesday",121852.738095238
"Jul","Wednesday",131628.904761905
"Jun","Friday",94560.3571428571
"Jun","Monday",97506.1904761904
"Jun","Saturday",68571.3571428571
"Jun","Sunday",77120.0238095238
"Jun","Thursday",110397.857142857
"Jun","Tuesday",102956.023809524
"Jun","Wednesday",112732.19047619
"May","Friday",92930.4999999999
"May","Monday",95876.3333333333
"May","Saturday",66941.4999999999
"May","Sunday",75490.1666666666
"May","Thursday",108768
"May","Tuesday",101326.166666667
"May","Wednesday",111102.333333333
"Sep","Friday",146602.071428571
"Sep","Monday",149547.904761905
"Sep","Saturday",120613.071428571
"Sep","Sunday",129161.738095238
"Sep","Thursday",162439.571428571
"Sep","Tuesday",154997.738095238
"Sep","Wednesday",164773.904761905
