"Day","Month","Trip_Count"
1,"Apr",14546
1,"Aug",32353
1,"Jul",21228
1,"Jun",15967
1,"May",23375
1,"Sep",19961
2,"Apr",17474
2,"Aug",28678
2,"Jul",26480
2,"Jun",17503
2,"May",24235
2,"Sep",28831
3,"Apr",20701
3,"Aug",23146
3,"Jul",21597
3,"Jun",22674
3,"May",22234
3,"Sep",32631
4,"Apr",26714
4,"Aug",24952
4,"Jul",14148
4,"Jun",22831
4,"May",13918
4,"Sep",38360
5,"Apr",19521
5,"Aug",28094
5,"Jul",10890
5,"Jun",28371
5,"May",17859
5,"Sep",42319
6,"Apr",13445
6,"Aug",30495
6,"Jul",11443
6,"Jun",24683
6,"May",19300
6,"Sep",40520
7,"Apr",19550
7,"Aug",32759
7,"Jul",18280
7,"Jun",20889
7,"May",21891
7,"Sep",30134
8,"Apr",16188
8,"Aug",30411
8,"Jul",25763
8,"Jun",15749
8,"May",27513
8,"Sep",30360
9,"Apr",16843
9,"Aug",26286
9,"Jul",27817
9,"Jun",23244
9,"May",26385
9,"Sep",34560
10,"Apr",20041
10,"Aug",20584
10,"Jul",30541
10,"Jun",22874
10,"May",22550
10,"Sep",35910
11,"Apr",20420
11,"Aug",22632
11,"Jul",28752
11,"Jun",25716
11,"May",14901
11,"Sep",36439
12,"Apr",18170
12,"Aug",29646
12,"Jul",25936
12,"Jun",29844
12,"May",17470
12,"Sep",39540
13,"Apr",12112
13,"Aug",29788
13,"Jul",21082
13,"Jun",31207
13,"May",19498
13,"Sep",43205
14,"Apr",12674
14,"Aug",30457
14,"Jul",27350
14,"Jun",19327
14,"May",22218
14,"Sep",28122
15,"Apr",20641
15,"Aug",28974
15,"Jul",33845
15,"Jun",14511
15,"May",26301
15,"Sep",29454
16,"Apr",17717
16,"Aug",26234
16,"Jul",28607
16,"Jun",17778
16,"May",32493
16,"Sep",36092
17,"Apr",20973
17,"Aug",21209
17,"Jul",30710
17,"Jun",21807
17,"May",22294
17,"Sep",35531
18,"Apr",18074
18,"Aug",21956
18,"Jul",29860
18,"Jun",24647
18,"May",16508
18,"Sep",40274
19,"Apr",14602
19,"Aug",24834
19,"Jul",25726
19,"Jun",28594
19,"May",18315
19,"Sep",41017
20,"Apr",11017
20,"Aug",27955
20,"Jul",21212
20,"Jun",24271
20,"May",20860
20,"Sep",38864
21,"Apr",13162
21,"Aug",32304
21,"Jul",23578
21,"Jun",19940
21,"May",23508
21,"Sep",28620
22,"Apr",16975
22,"Aug",29512
22,"Jul",29029
22,"Jun",16322
22,"May",26802
22,"Sep",28312
23,"Apr",20346
23,"Aug",27097
23,"Jul",34073
23,"Jun",17735
23,"May",26465
23,"Sep",30316
24,"Apr",23352
24,"Aug",22036
24,"Jul",32050
24,"Jun",20779
24,"May",14651
24,"Sep",31301
25,"Apr",25095
25,"Aug",22093
25,"Jul",29975
25,"Jun",26460
25,"May",10841
25,"Sep",38203
26,"Apr",24925
26,"Aug",24550
26,"Jul",27708
26,"Jun",28516
26,"May",10202
26,"Sep",37504
27,"Apr",14677
27,"Aug",27018
27,"Jul",22590
27,"Jun",24895
27,"May",17004
27,"Sep",39468
28,"Apr",15475
28,"Aug",28597
28,"Jul",23981
28,"Jun",21208
28,"May",22240
28,"Sep",29656
29,"Apr",22835
29,"Aug",27424
29,"Jul",27589
29,"Jun",17107
29,"May",24930
29,"Sep",29201
30,"Apr",36251
30,"Aug",23930
30,"Jul",30740
30,"Jun",18395
30,"May",24413
30,"Sep",33431
31,"Aug",23271
31,"Jul",33541
31,"May",21261
