"Month","Day_of_Week","Trip_Count"
"Apr","Friday",77218
"Apr","Monday",91185
"Apr","Saturday",51251
"Apr","Sunday",60861
"Apr","Thursday",90303
"Apr","Tuesday",108631
"Apr","Wednesday",85067
"May","Friday",102990
"May","Monday",76662
"May","Saturday",56168
"May","Sunday",63846
"May","Thursday",133991
"May","Tuesday",89857
"May","Wednesday",128921
"Jun","Friday",81364
"Jun","Monday",88134
"Jun","Saturday",79656
"Jun","Sunday",94655
"Jun","Thursday",105056
"Jun","Tuesday",99654
"Jun","Wednesday",115325
"Jul","Friday",90260
"Jul","Monday",137454
"Jul","Saturday",76327
"Jul","Sunday",93189
"Jul","Thursday",102735
"Jul","Tuesday",147717
"Jul","Wednesday",148439
"Aug","Friday",132225
"Aug","Monday",107124
"Aug","Saturday",110246
"Aug","Sunday",91633
"Aug","Thursday",148674
"Aug","Tuesday",115256
"Aug","Wednesday",124117
"Sep","Friday",162057
"Sep","Monday",163230
"Sep","Saturday",116532
"Sep","Sunday",137288
"Sep","Thursday",160380
"Sep","Tuesday",135373
"Sep","Wednesday",153276
